8764598857437308175;(0, 2, True);0.0
-417366514971554850;(0, 2, False);0.0
89654607660146751;(1, 2, False);0.0
-5238767554516847973;(0, 4, True);0.0
-5238767554516847973;(0, 3, True);0.0
15894675766061016;(0, 2, True);0.0
-4754916337396355014;(0, 3, False);0.0
5873704934996931157;(3, 0, True);1.0
5873704934996931157;(3, 1, False);0.09000000000000001
2412654488314878285;(3, 0, False);0.09000000000000001
4056061004818047511;(2, 0, True);0.008100000000000001
-7292753889691175349;(2, 3, False);0.0
6862514818700738773;(2, 3, False);0.0
1901818666225227157;(0, 2, True);1.0
-707419094332579851;(0, 2, False);0.09000000000000001
-7532348365055400711;(3, 1, False);0.0
5475032628253457039;(3, 2, True);0.0
-4904280763912709279;(2, 0, True);1.0
-2060081989131962520;(2, 1, False);0.09000000000000001
8947196426329669747;(3, 1, False);0.008100000000000001
-4376919330241284922;(2, 1, True);0.0007290000000000002
-6662087281283474123;(3, 1, False);6.561000000000002e-05
8583636989828920036;(3, 1, False);5.904900000000002e-06
-5388275709142730279;(0, 2, True);0.0
-1872076425356550570;(0, 3, True);0.0
-3812789435874643448;(0, 2, True);0.0
-4816144502765681295;(-1, 1, False);0.0
-4908644874279309724;(0, 1, False);0.0
-2149102279745118894;(0, 0, True);0.0
-2923535638657164499;(0, 3, False);0.0
-5140250344074459384;(0, -1, True);0.0
4815191534028423431;(0, 0, True);0.0
-7225054824807619629;(0, 0, False);0.0
6238995651245399861;(0, 4, False);0.0
5724775611425802784;(0, 3, False);0.0
-8362018450891671354;(3, 1, True);1.0
3131716324079031539;(3, 0, True);0.09000000000000001
-209510507329352801;(-1, 0, False);0.008100000000000001
-6182463619730490372;(0, 0, True);0.0007290000000000002
2142290554338952942;(4, 0, True);6.561000000000002e-05
6570110006024888793;(3, 0, False);5.904900000000002e-06
5284091281636051981;(1, 4, False);0.0
-8325859500563535874;(1, 3, False);0.0
-4722614372783644955;(2, -1, True);0.0
-1804101676938033732;(2, 0, False);0.0
-5312743879042516574;(1, 4, True);0.0
-6019463226552427818;(1, 3, True);0.0
4716376244867269663;(3, 2, True);0.0
-6766813385396353153;(-1, 3, True);0.0
-3931451152795041986;(0, 3, False);0.0
-6955826893626909405;(0, 3, False);0.0
-7193950552857423615;(4, 3, True);0.0
6901405934851747579;(3, 3, True);0.0
-7628742306385158388;(2, 2, False);0.0
157342865867560446;(2, 3, False);0.0
2921353848460816752;(1, 3, False);0.0
2540573636827143645;(1, 1, True);0.0
1691849731691719209;(1, 1, False);0.0
6540804743567889366;(0, 1, True);0.0
-6249827166163743784;(3, 1, True);1.0
-553857738460771410;(3, 0, False);0.09000000000000001
-2987555454106131071;(2, 1, True);0.008100000000000001
6356798749584809898;(3, 1, False);0.0
-7525554761837044105;(2, 1, True);0.0
8378555101895843804;(3, 1, False);0.0
-7086813628193031069;(3, 2, False);0.0
8616657540983167771;(3, 1, False);0.0
